_id,Parent Asset Name,Asset ID,Asset Name,Public Name,Pad Length,Pad Width,Permit Classification,Ice Pad Size Category,Operated By,Boards (Ice Rink),Address,Postal Code,Community Council Area,Ward,geometry
23,FORD PERFORMANCE CENTRE,17338,FORD PERFORMANCE CENTRE - Indoor Ice Pad (1),FORD PERFORMANCE CENTRE -  (1),200,100,N/A,International(200X100),Lakeshore Arena Corporation,Yes,400 KIPLING AVE,M8V 3L1,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5199133677, 43.6029579162]]}"
24,FORD PERFORMANCE CENTRE,44352,FORD PERFORMANCE CENTRE - Indoor Ice Pad (2),FORD PERFORMANCE CENTRE -  (2),200,85,N/A,NHL(200X85),Lakeshore Arena Corporation,Yes,400 KIPLING AVE,M8V 3L1,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5199133677, 43.6029579162]]}"
25,FORD PERFORMANCE CENTRE,44353,FORD PERFORMANCE CENTRE - Indoor Ice Pad (3),FORD PERFORMANCE CENTRE -  (3),200,85,N/A,NHL(200X85),Lakeshore Arena Corporation,Yes,400 KIPLING AVE,M8V 3L1,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5199133677, 43.6029579162]]}"
26,FORD PERFORMANCE CENTRE,44354,FORD PERFORMANCE CENTRE - Indoor Ice Pad (4),FORD PERFORMANCE CENTRE -  (4),200,85,N/A,NHL(200X85),Lakeshore Arena Corporation,Yes,400 KIPLING AVE,M8V 3L1,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5199133677, 43.6029579162]]}"
27,GEORGE BELL ARENA,17335,GEORGE BELL ARENA - Indoor Ice Pad,GEORGE BELL ARENA,,,N/A,,Arena Board,Yes,215 RYDING AVE,M6N 1H6,Etobicoke York,05,"{'type': 'MultiPoint', 'coordinates': [[-79.4773579435, 43.6684431016]]}"
28,GORD AND IRENE RISK COMMUNITY CENTRE,17367,GORD AND IRENE RISK COMMUNITY CENTRE - Indoor Ice Pad,GORD AND IRENE RISK COMMUNITY CENTRE - Rink (A),185,85,A,Regular(185X85),PFR,Yes,2650 FINCH AVE W,M9M 3A3,Etobicoke York,07,"{'type': 'MultiPoint', 'coordinates': [[-79.566509253, 43.7474365518]]}"
29,GOULDING COMMUNITY CENTRE,17356,GOULDING COMMUNITY CENTRE - Indoor Ice Pad,GOULDING COMMUNITY CENTRE - Rink (A),185,85,A,Regular(185X85),PFR,Yes,45 GOULDING AVE,M2M 1K8,North York,18,"{'type': 'MultiPoint', 'coordinates': [[-79.4221107163, 43.7906271285]]}"
30,GRANDRAVINE COMMUNITY RECREATION CENTRE,17357,GRANDRAVINE COMMUNITY RECREATION CENTRE - Indoor Ice Pad,GRANDRAVINE COMMUNITY RECREATION CENTRE - Rink (A),185,85,A,Regular(185X85),PFR,Yes,23 GRANDRAVINE DR,M3J 1B3,North York,06,"{'type': 'MultiPoint', 'coordinates': [[-79.4906515065, 43.7519152657]]}"
31,HABITANT ARENA,17336,HABITANT ARENA - Indoor Ice Pad,HABITANT ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,3383 WESTON RD,M9M 2V9,Etobicoke York,07,"{'type': 'MultiPoint', 'coordinates': [[-79.5402511585, 43.7469791139]]}"
32,HERBERT H. CARNEGIE CENTENNIAL CENTRE,17358,HERBERT H. CARNEGIE CENTENNIAL CENTRE - Indoor Ice Pad,HERBERT H. CARNEGIE CENTENNIAL CENTRE - Rink (Premier),185,85,Premier,Regular(185X85),PFR,Yes,580 FINCH AVE W,M2R 1N7,North York,06,"{'type': 'MultiPoint', 'coordinates': [[-79.4501367228, 43.7735941402]]}"
33,HERON PARK COMMUNITY RECREATION CENTRE,17368,HERON PARK COMMUNITY RECREATION CENTRE - Indoor Ice Pad (1),HERON PARK COMMUNITY RECREATION CENTRE - Rink 1 (B),179,80,B,Undersized(less than 185X85),PFR,Yes,292 MANSE RD,M1E 3V4,Scarborough,25,"{'type': 'MultiPoint', 'coordinates': [[-79.1772548196, 43.7688363886]]}"
34,HERON PARK COMMUNITY RECREATION CENTRE,44348,HERON PARK COMMUNITY RECREATION CENTRE - Indoor Ice Pad (2),HERON PARK COMMUNITY RECREATION CENTRE - Rink 2 (C),159,69,C,Undersized(less than 185X85),PFR,Yes,292 MANSE RD,M1E 3V4,Scarborough,25,"{'type': 'MultiPoint', 'coordinates': [[-79.1772548196, 43.7688363886]]}"
35,JOHN BOOTH MEMORIAL ARENA,17337,JOHN BOOTH MEMORIAL ARENA - Indoor Ice Pad,JOHN BOOTH MEMORIAL ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,230 GOSFORD BLVD,M3N 2H1,Etobicoke York,07,"{'type': 'MultiPoint', 'coordinates': [[-79.5241486138, 43.7697360226]]}"
36,LAMBTON ARENA,17339,LAMBTON ARENA - Indoor Ice Pad,LAMBTON ARENA - Rink (A),180,80,A,Undersized(less than 185X85),PFR,Yes,4100 DUNDAS ST W,M6S 2T7,Toronto and East York,04,"{'type': 'MultiPoint', 'coordinates': [[-79.505892663, 43.6649609101]]}"
37,LARRY GROSSMAN FOREST HILL MEMORIAL ARENA,17340,LARRY GROSSMAN FOREST HILL MEMORIAL ARENA - Indoor Ice Pad (1),LARRY GROSSMAN FOREST HILL MEMORIAL ARENA -  (1),180,80,N/A,Undersized(less than 185X85),Arena Board,Yes,340 CHAPLIN CRES,M5N 2N3,North York,08,"{'type': 'MultiPoint', 'coordinates': [[-79.4201852796, 43.7042503753]]}"
38,LARRY GROSSMAN FOREST HILL MEMORIAL ARENA,44350,LARRY GROSSMAN FOREST HILL MEMORIAL ARENA - Indoor Ice Pad (2),LARRY GROSSMAN FOREST HILL MEMORIAL ARENA -  (2),160,73,N/A,Undersized(less than 185X85),Arena Board,Yes,340 CHAPLIN CRES,M5N 2N3,North York,08,"{'type': 'MultiPoint', 'coordinates': [[-79.4201852796, 43.7042503753]]}"
39,LEASIDE MEMORIAL COMMUNITY GARDENS,17341,LEASIDE MEMORIAL COMMUNITY GARDENS - Indoor Ice Pad (1),LEASIDE MEMORIAL COMMUNITY GARDENS -  (1),,,N/A,,Arena Board,Yes,1073 MILLWOOD RD,M4G 1X6,North York,15,"{'type': 'MultiPoint', 'coordinates': [[-79.3612191537, 43.7016796841]]}"
40,LEASIDE MEMORIAL COMMUNITY GARDENS,45022,LEASIDE MEMORIAL COMMUNITY GARDENS - Indoor Ice Pad (2),LEASIDE MEMORIAL COMMUNITY GARDENS -  (2),,,N/A,,Arena Board,Yes,1073 MILLWOOD RD,M4G 1X6,North York,15,"{'type': 'MultiPoint', 'coordinates': [[-79.3612191537, 43.7016796841]]}"
41,LONG BRANCH ARENA,17342,LONG BRANCH ARENA - Indoor Ice Pad,LONG BRANCH ARENA - Rink (A),180,80,A,Undersized(less than 185X85),PFR,Yes,75 ARCADIAN CIR,M8W 2Z5,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5272872365, 43.5919436932]]}"
42,MALVERN RECREATION CENTRE,17369,MALVERN RECREATION CENTRE - Indoor Ice Pad (1),MALVERN RECREATION CENTRE - Rink 1 (A),185,85,A,Regular(185X85),PFR,Yes,30 SEWELLS RD,M1B 3G5,Scarborough,25,"{'type': 'MultiPoint', 'coordinates': [[-79.216384452, 43.8085667481]]}"
